ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,TotalIncome,DebtToIncomeRatio,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,IncomeBand_Lower-Middle,IncomeBand_Upper-Middle,IncomeBand_High,FamilySizeGroup_Medium Family,FamilySizeGroup_Small Family,FamilySizeGroup_Unknown,Loan_Status
0.07299082285068836,-0.5544873301529852,-0.21124124943736647,0.2732312961117544,0.41173269183271005,-0.18218375972648307,0.045424488556864866,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
-0.13441195378345122,-0.03873154846446157,-0.21124124943736647,0.2732312961117544,0.41173269183271005,-0.144684160081343,-0.33848495359411596,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
-0.3937473372051281,-0.5544873301529852,-0.9489964681145835,0.2732312961117544,0.41173269183271005,-0.6236563191851775,-0.21740989968109414,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
-0.4620624697931504,0.2519796016915365,-0.3064354712021687,0.2732312961117544,0.41173269183271005,-0.32288473690742187,0.06354330875610109,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1
0.09772843680942066,-0.5544873301529852,-0.05655063906956289,0.2732312961117544,0.41173269183271005,-0.15878524920410228,-0.03310429653608865,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
0.0022183113925933404,0.8805997122641535,1.4427583537260718,0.2732312961117544,0.41173269183271005,0.40107447607643937,0.4921529321086234,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
-0.5030187842943628,-0.03599544352181688,-0.6039174142171756,0.2732312961117544,0.41173269183271005,-0.49209780638053324,0.11209602145214342,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
-0.38784962791695354,0.30191351689480206,0.1457370821806418,0.2732312961117544,-2.428760260810931,-0.23006547993453383,0.5836873789708431,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
-0.22893912765224944,-0.03257531234351103,0.26472985938664456,0.2732312961117544,0.41173269183271005,-0.23130513612115003,0.8108634436788932,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1
1.2184570268205968,3.196712546212882,2.4184991268152944,0.2732312961117544,0.41173269183271005,2.6008443792268876,-1.1194847682473414,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0
-0.3609822856041582,-0.31507814767157505,-0.9013993572321825,0.2732312961117544,0.41173269183271005,-0.484194998190855,-0.7151925543291431,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
-0.4756599662075529,0.07481680665529297,-0.4373275261287717,0.2732312961117544,0.41173269183271005,-0.4160139079269639,0.1653568828873351,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1
-0.38178809337077413,2.2178710029817448,0.6455067464458534,0.2732312961117544,0.41173269183271005,0.6437371746065607,-0.7223227301236063,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1
-0.5816549081366906,0.41682992448587897,-0.3778311375257703,0.2732312961117544,0.41173269183271005,-0.3613140786925241,0.0641473779979156,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
-0.6724141010713773,-0.18306108418896885,-1.532061076423997,-3.4548579441686273,0.41173269183271005,-0.718954888531298,-2.0447529446994994,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
-0.07428808409567142,-0.5544873301529852,-0.2469390825991673,0.2732312961117544,0.41173269183271005,-0.3214901236974786,0.18222918592625784,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
-0.29610748343423776,-0.5544873301529852,-0.5444210256141742,-1.5908133240284363,0.41173269183271005,-0.5313019332822706,0.49630449381035463,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
-0.31019645562265485,-0.5544873301529852,-0.8300036909085807,0.2732312961117544,-2.428760260810931,-0.5446282372883947,-0.26011699100814206,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
-0.08460907534997694,-0.5544873301529852,-0.1517448608343651,0.2732312961117544,0.41173269183271005,-0.3312524161670812,0.423366664230455,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
-0.45927744040706797,0.6425585822540657,-0.36593185980517007,0.2732312961117544,0.41173269183271005,-0.14328954687139978,-0.6041495259525811,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
0.369678365097471,-0.5544873301529852,-0.49682391473177306,0.2732312961117544,-2.428760260810931,0.09844340951875936,-1.2523444092473042,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
0.09035630019920242,1.3693364576440608,2.013923684314885,0.2732312961117544,0.41173269183271005,0.7058749409606977,0.4217708449046935,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1
-0.45927744040706797,0.09909973802126458,-0.3540325820845698,0.2732312961117544,-2.428760260810931,-0.38951625693804265,0.23904370225550542,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
-0.33395111803335803,0.10115181672824809,-0.4016296929669709,0.2732312961117544,-2.428760260810931,-0.2700443919529063,-0.3152037600397464,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
-0.27628462721565095,0.44590103950147875,0.06244213813643986,0.2732312961117544,0.41173269183271005,-0.05930284022815217,-0.1272087433090128,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0
0.6809463553066852,-0.5544873301529852,0.5384132469604509,0.2732312961117544,0.41173269183271005,0.392861753840107,-0.4657212143785492,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1
